Source Email,Target Email,Migration Wave,Profile Name
C3O365ShareMBX1@btcorp3.onmicrosoft.com,C3O365ShareMBX1@btcorp11.onmicrosoft.com,Wave1,Profile 1
C3O365ShareMBX2@btcorp3.onmicrosoft.com,C3O365ShareMBX2@btcorp11.onmicrosoft.com,Wave1,Profile 1
C3O365ShareMBX3@btcorp3.onmicrosoft.com,C3O365ShareMBX3@btcorp11.onmicrosoft.com,Wave1,Profile 1
C3O365ShareMBX4@btcorp3.onmicrosoft.com,C3O365ShareMBX4@btcorp11.onmicrosoft.com,Wave1,Profile 1
C3O365ShareMBX5@btcorp3.onmicrosoft.com,C3O365ShareMBX5@btcorp11.onmicrosoft.com,Wave1,Profile 1
C3O365ShareMBX6@btcorp3.onmicrosoft.com,C3O365ShareMBX6@btcorp11.onmicrosoft.com,Wave1,Profile 1
C3O365ShareMBX7@btcorp3.onmicrosoft.com,C3O365ShareMBX7@btcorp11.onmicrosoft.com,Wave1,Profile 1
C3O365ShareMBX8@btcorp3.onmicrosoft.com,C3O365ShareMBX8@btcorp11.onmicrosoft.com,Wave1,Profile 1
C3O365ShareMBX9@btcorp3.onmicrosoft.com,C3O365ShareMBX9@btcorp11.onmicrosoft.com,Wave1,Profile 1
C3O365ShareMBX10@btcorp3.onmicrosoft.com,C3O365ShareMBX10@btcorp11.onmicrosoft.com,Wave1,Profile 1
